This file was created using the 202605 CRSP database.
It contains value-weighted returns for the intersections of  2 ME portfolios
and  3 BE/ME portfolios. 

The portfolios are constructed on the last Friday of June.  ME is market cap on the last Friday
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME at the end of December of the prior year.

Weekly portfolio returns are formed from weekly stock returns (computed from the first to the last trading day of the week).

Missing data are indicated by -99.99 or -999.

The break points use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Transportation, Utilities, and Financials Manuals.

The  portfolios  use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Transportation, Utilities, and Financials Manuals.


  Average Value Weighted Returns -- Weekly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260702,   0.80,   1.06,   0.68,   2.33,   1.37,   0.72
19260710,  -0.64,   0.20,  -0.13,   0.92,   0.21,   1.03
19260717,   1.94,   1.09,   0.97,   1.98,   0.20,   0.06
19260724,  -1.62,  -2.12,  -2.30,  -2.36,  -1.71,  -2.02
19260731,   1.29,   1.79,   1.26,   4.49,   2.70,   2.82
19260807,   1.76,   2.22,   3.38,   2.97,   1.45,   2.44
19260814,  -1.35,   0.39,   0.45,   0.64,   0.41,   0.26
19260821,  -0.82,  -1.25,   0.76,  -1.77,  -0.81,   0.41
19260828,   1.01,   0.32,   1.44,   0.49,   0.25,   1.33
19260903,   1.59,   0.68,   1.90,   1.17,   2.53,   2.06
19260911,  -1.93,  -0.95,  -0.96,  -0.98,  -1.41,  -2.01
19260918,  -1.71,  -0.48,  -0.38,   0.77,  -0.13,   0.07
19260925,  -0.40,   0.11,  -0.57,   0.78,   0.76,  -0.13
19261002,  -0.06,   1.35,   0.02,   1.26,   0.02,   0.66
19261009,  -4.64,  -4.40,  -4.87,  -4.34,  -3.74,  -4.68
19261016,  -2.65,  -3.26,  -1.72,  -2.23,  -1.03,  -0.72
19261023,   1.71,   0.96,   1.91,   1.22,   1.16,   0.32
19261030,   1.56,   1.53,   2.20,   0.70,   0.79,   0.95
19261106,   1.46,   1.01,   0.79,   1.38,   1.77,   2.79
19261113,   1.99,   0.94,   0.49,   0.86,   0.73,   0.42
19261120,  -1.15,   0.46,   0.74,  -0.41,  -0.83,  -0.79
19261127,   1.03,   1.38,   0.88,   1.51,   1.12,   1.17
19261204,   1.80,   0.61,   0.59,   1.16,   0.86,   0.75
19261211,   2.84,   0.69,   1.08,   0.53,   0.81,   2.06
19261218,  -0.86,   0.72,   1.60,   1.54,   1.75,   0.81
19261224,  -0.27,   0.23,  -0.46,   0.95,  -0.09,  -0.54
19261231,  -0.85,  -0.70,  -0.65,  -1.45,  -0.59,  -1.18
19270108,   2.18,   0.46,   0.80,   0.15,   0.14,   1.43
19270115,  -1.45,   0.00,   0.51,  -0.71,   0.48,   2.08
19270122,  -0.34,  -0.96,   2.59,   0.08,  -0.11,   0.54
19270129,  -2.05,  -0.66,  -0.36,  -0.55,  -0.86,  -1.13
19270205,   1.83,   2.22,   5.89,   1.43,   1.53,   2.65
19270211,  -0.02,   1.52,  -0.27,   0.66,   0.46,   0.68
19270219,   0.99,   0.92,   1.84,   0.84,   1.27,   2.97
19270226,   2.03,   1.52,   0.30,   1.82,   0.47,   0.63
19270305,  -0.60,  -1.00,  -1.42,  -0.10,  -1.00,  -2.13
19270312,  -0.02,   1.09,   0.39,   1.52,   0.53,   1.10
19270319,  -0.52,  -1.05,  -2.79,   0.51,   0.20,  -1.87
19270326,   0.36,   0.52,   0.35,   0.08,   0.71,  -0.06
19270402,  -1.39,   0.77,  -0.28,   0.38,  -0.23,   1.49
19270409,   0.38,  -0.09,   4.08,   2.32,   1.36,   2.43
19270416,   2.60,   1.92,   0.59,   0.69,   0.02,  -0.49
19270423,  -1.97,   0.49,   1.20,   1.61,  -0.16,   0.94
19270430,  -2.54,  -1.41,  -1.86,  -1.70,  -1.80,  -4.00
19270507,   4.03,   2.38,   3.94,   2.96,   2.50,   2.96
19270514,  -0.37,  -0.94,   1.23,   0.23,   0.59,  -0.17
19270521,   1.57,  -0.09,   0.48,   0.83,   1.00,   2.54
19270528,   0.71,   1.97,   7.34,   0.97,   0.92,   0.33
19270604,  -1.32,   1.36,  -0.33,   0.61,  -0.11,   0.25
19270611,   0.43,   0.72,   0.82,   0.14,   0.03,  -0.08
19270618,   0.46,   2.03,   1.10,   0.12,  -0.42,   1.54
19270625,  -0.79,  -1.69,  -2.73,  -0.92,  -1.45,  -1.47
19270702,  -0.47,  -0.31,   0.55,   0.71,   0.15,  -0.20
19270709,   0.09,   1.36,   0.91,   1.36,   1.01,   0.81
19270716,   1.75,   1.15,   0.93,   2.09,   1.92,   2.61
19270723,   0.74,   1.54,   0.50,   1.72,   0.52,   0.07
19270730,  -0.50,   0.23,  -0.40,   2.35,   2.08,   2.50
19270806,   1.77,   0.12,   0.04,   1.23,   0.45,  -0.24
19270813,  -1.41,  -3.26,  -3.00,  -1.58,  -1.26,  -2.79
19270820,   2.92,   2.27,   4.28,   3.18,   2.39,   2.60
19270827,   0.71,  -0.10,   0.35,   1.61,   0.23,  -0.19
19270903,   2.56,  -0.31,   0.73,   1.43,   1.20,   1.80
19270910,  -0.93,   1.10,  -0.10,   1.06,   1.77,   0.60
19270917,   0.56,   0.16,   0.22,   1.95,   0.74,   0.55
19270924,  -0.22,   0.06,  -0.71,   0.09,  -0.13,   0.41
19271001,  -0.54,   0.47,   0.02,   0.49,   0.60,   1.67
19271008,  -0.86,  -1.13,  -1.06,  -0.54,  -1.51,  -2.18
19271015,   2.68,   0.69,   0.84,   0.66,  -0.08,   0.04
19271022,  -3.08,  -2.44,  -5.41,  -5.12,  -3.29,  -3.46
19271029,   0.58,  -0.19,  -1.81,   0.19,  -0.63,  -1.88
19271105,   3.50,   1.88,   3.73,   3.50,   3.80,   3.10
19271112,   3.27,   0.77,   1.02,   1.39,   1.44,   0.71
19271119,   1.21,   3.98,   3.88,   1.90,   1.51,   1.33
19271126,   1.61,   1.53,   1.21,  -0.05,   0.60,   1.71
